Town Code,Town Name,Residential,Commercial,250 Income and Expense Penalties,300 Industrial,400 Public Utility ,500 Vacant Land,600 Land Use,700 Ten Mill Land,800 Apartment,Total Real Property,Exemptions,Net Real Property,Motor Vehicle,Motor Vehicle Exemption,Total Net Motor Vehicle,Personal Property,Personal Property Exemptions,Net Personal Property ,Total Grand List,Residential Year over Year,Commericial Year over Year,Commericial % of Grand List
103,Norwalk,8674126553,2175769882,,"200,828,950","60,839,870","111,347,110","398,510",,"350,900,347","11,574,211,222","36,265,153","11,537,946,069","590,561,703","14,133,121","576,428,582","718,904,295","24,446,248","694,458,047",12808832698.0,-0.5091404405976663,2.7962221889033634,16.986480605213384
103,Norwalk,8718516044,2116585450,,"198,685,060","60,876,130","117,904,634","458,220",0.0,"361,689,580","11,574,715,118","41,859,555","11,532,855,563","589,755,220","13,233,198","576,522,022","725,933,771","31,183,467","694,750,304",,14.859710566179674,-7.183989886477704,
103,Norwalk,7590578107,2280409864,,"149,900,660","51,733,570","148,107,205","25,760",0.0,"369,691,920","10,590,447,086","32,340,918","10,558,106,168","604,970,475","13,361,513","591,608,962","744,816,157","33,790,544","711,025,613",11860740743.0,-0.21893326107683686,0.5382083637066826,19.226538320094868
103,Norwalk,7607232870,2268202210,,"150,047,914","51,733,570","142,923,211","25,760",0.0,"372,966,335","10,593,131,870","27,661,019","10,565,470,851","621,034,520","13,421,159","607,613,361","758,213,892","28,757,517","729,456,375",11902540587.0,-0.38892907286107725,-1.8533581080739991,19.05645432099882
103,Norwalk,7636935131,2311033945,,"146,297,142","51,993,520","149,723,574","25,760",0.0,"423,479,180","10,719,488,252","26,964,847","10,692,523,405","629,304,059","14,686,384","614,617,675","812,178,694","27,489,593","784,689,101",12091830181.0,-0.6450511766896372,0.12538581582013375,19.11235859590013
103,Norwalk,7686517100,2308139865,,"149,922,625","42,304,780","155,265,627","25,760",0.0,"442,730,986","10,784,906,743","30,624,218","10,754,282,525","654,421,936","15,117,515","639,304,421","823,379,371","15,073,970","808,305,401",12201892347.0,-0.37418920242749953,-0.0780268427837405,18.916245114779162
103,Norwalk,7715387246,2309942240,,"149,549,385","42,111,701","155,443,762","25,760",0.0,"480,210,212","10,852,670,306","36,549,100","10,816,121,206","662,669,421","14,142,261","648,527,160","814,815,558","16,107,077","798,708,481",12263356847.0,-9.031415958342814,-24.141840435324223,18.836133277529832
103,Norwalk,8481375551,3045080784,,"193,465,314","63,901,356","200,549,869","289,150",0.0,"856,946,096","12,841,608,120","32,589,945","12,809,018,175","678,100,411","13,472,106","664,628,305","815,962,868","11,029,526","804,933,342",14278579822.0,-0.27022919574336557,-9.398121148796502,21.326216066028024
103,Norwalk,8504356806,3360946619,27711796,"195,265,870","63,901,356","201,475,585","329,020",0.0,"878,314,344","13,204,589,600","47,208,740","13,157,380,860","694,756,658","12,520,835","682,235,823","844,400,657","12,409,241","831,991,416",14671608099.0,-0.09976033578894539,-0.10640723938325491,22.907827119708017
103,Norwalk,8512849253,3364526719,93393958,"191,631,980","50,120,013","194,831,684","329,020",0.0,"934,816,567","13,249,105,236","237,190,075","13,011,915,161","724,711,347","13,449,960","711,261,387","974,150,103","15,715,229","958,434,874",14681611422.0,-0.29238986772635034,1.8208669112956377,22.916603786137173
103,Norwalk,8537812953,3304358744,"56,750,709","192,100,010","45,428,368","200,328,928","329,020",0.0,"922,917,927","13,203,275,950","265,363,046","12,937,912,904","918,899,115","16,068,474","902,830,641","923,333,277","13,133,877","910,199,400",14750942945.0,-1.043098184306368,-4.383223979863171,22.401000100946426
103,Norwalk,8627809477,3455835766,0,"199,530,197","52,676,295","165,230,658","613,240",0.0,"776,586,911","13,278,282,544","210,278,915","13,068,003,629","1,024,107,704","12,710,166","1,011,397,538","805,820,921","15,560,779","790,260,142",14869661309.0,-25.882906786205005,10.018020770388913,23.240850576121215
103,Norwalk,11640782312,3141154278,0,"205,682,721","38,509,740","181,982,560","691,920",0.0,"1,027,759,230","16,236,562,761","2,682,701,900","13,553,860,861","959,951,933","12,875,420","947,076,513","897,293,867","16,040,475","881,253,392",15382190766.0,-0.39090250144621086,-3.2835672082866307,20.42072111693638
103,Norwalk,11686464996,3247797905,0,"213,894,861","38,509,740","177,699,790","691,920",0.0,"1,121,928,880","16,486,988,092","1,987,786,381","14,499,201,711","894,404,959","1,137,510","893,267,449","911,100,244","15,754,252","895,345,992",16287815152.0,,,19.940046437727403
